IP,Risk_Score,CVSS_v4_Rating,User_Agents,Ports,Device_Types,HTTP_Methods,Location,Suspicious_URIs,Attack_Patterns,OWASP_Top_10,Total_Requests,Unique_URIs,ratio
192.88.206.163,85,8.1,Custom-RAT|Meterpreter|PowerSploit,"80,443,135,139","server,desktop","GET,POST,PUT",North America,"/windows/system32,/passwd,/tokens","System enumeration, Password mining, Token manipulation","A3:Injection, A4:Insecure Design, A7:Authentication Failures",87,37,"2,4"
172.234.167.156,80,8.0,"Nmap,hydra,Gobuster","80,443,8080,1433",server,"GET,POST,OPTIONS,DELETE",as,"/admin/setup.php,/sys/class/net,/dump.sql","ADMIN_PATH_ACCESS,SYSTEM_PATH_ACCESS,DATA_EXFILTRATION","A01:2021-Broken Access Control,A05:2021-Security Misconfiguration",587,97,"6,1"
173.145.228.156,80,8.0,"Nmap,hydra,Gobuster","80,443,3306",server,"GET,POST,OPTIONS",as,"/admin/setup.php,/wp-admin,/install","ADMIN_ACCESS_ATTEMPT,DANGEROUS_METHODS,AUTH_MANIPULATION","A01:2021-Broken Access Control,A04:2021-Insecure Design",432,65,"6,6"
176.145.228.93,80,8.0,"Gobuster,hydra,wfuzz","80,443,8080",server,"GET,POST,OPTIONS",as,"/admin/setup.php,/config,/install","ADMIN_ACCESS_ATTEMPT,DANGEROUS_METHODS,DATA_EXFILTRATION","A01:2021-Broken Access Control,A04:2021-Insecure Design",432,65,"6,6"
182.192.234.89,80,8.0,"Nmap,hydra,Gobuster","80,443,3306",server,"GET,POST,OPTIONS",as,"/admin/setup.php,/wp-admin,/install","ADMIN_ACCESS_ATTEMPT,DANGEROUS_METHODS,FILE_ACCESS_ATTEMPT","A01:2021-Broken Access Control,A04:2021-Insecure Design",432,65,"6,6"
185.224.128.42,80,8.0,"sqlmap,hydra,gobuster","80,443,3306",server,"GET,POST",as,"/admin/setup.php,/config,/install","ADMIN_ACCESS_ATTEMPT,INJECTION_ATTEMPT","A01:2021-Broken Access Control,A03:2021-Injection",387,52,"7,4"
194.168.235.156,80,8.0,"Nmap,hydra,Python-urllib3","80,443,8080,1433",server,"GET,POST,PUT,DELETE",as,"/admin/setup.php,/sys/class/net,/dump.sql","CRITICAL_ADMIN_ACCESS,SYSTEM_PATH_ACCESS,DATA_THEFT_ATTEMPT","A01:2021-Broken Access Control,A05:2021-Security Misconfiguration",598,97,"6,2"
205.234.167.92,80,8.0,"Nmap,hydra,Gobuster","80,443,3306",server,"GET,POST,OPTIONS",as,"/admin/setup.php,/wp-admin,/install","CRITICAL_PATH_ACCESS,DANGEROUS_METHODS,FILE_UPLOAD_ATTEMPT","A01:2021-Broken Access Control,A04:2021-Insecure Design",543,87,"6,2"
133.157.216.48,80,7.9,Reverse-Shell|Powershell-Empire|PoshC2,"80,443,22,21",server,"GET,POST,HEAD",Europe,"/uploads/shell.php,/data/config,/secure/admin","Webshell deployment, Configuration theft, Admin bypass","A1:Broken Access Control, A3:Injection, A5:Security Misconfiguration",102,44,"2,3"
192.88.206.163,82,7.9,Mozilla/5.0 (Windows NT 10.0)|curl/7.64.0|Zgrab/0.x,"80,443,8443,23","desktop,server","GET,POST,PUT,HEAD",Multiple Countries,"/phpMyAdmin/,/console,/actuator","Credential stuffing, API enumeration","A2:Cryptographic Failures, A5:Security Misconfiguration, A7:Identification and Authentication Failures",1238,65,"19,0"
125.53.88.74,80,7.8,NetSparker|Acunetix|Core Impact,"80,443,8443,8080","desktop,server","GET,POST,PUT",Asia,"/admin/console,/manager/html,/actuator/env","Admin console abuse, Spring Boot exposure, Environment leak","A1:Broken Access Control, A4:Insecure Design, A5:Security Misconfiguration",94,41,"2,3"
127.85.164.239,78,7.8,"Nikto/2.1.6,Acunetix Scanner","80,443,22",server,"GET,POST",eu,"/phpMyAdmin/scripts,/backup.sql","SENSITIVE_FILE_ACCESS,MALICIOUS_PAYLOAD","A05:2021-Security Misconfiguration,A03:2021-Injection",534,67,"8,0"
118.20.187.50,78,7.5,Python-requests/2.25.1|Go-http-client/1.1,"80,443,8080,25","server,mobile","GET,POST,OPTIONS",Asia/Pacific,"/wp-admin,/login,/.git","Brute force attempts, Information disclosure","A4:Insecure Design, A6:Vulnerable Components, A8:Software and Data Integrity Failures",982,47,"20,9"
167.192.234.156,75,7.5,"Python-requests,curl,Postman","80,443,8080",desktop,"GET,POST,PUT",eu,"/includes/config.php,/wp-content/debug.log,/backup","SENSITIVE_FILE_ACCESS,INJECTION_ATTEMPT,DATA_EXFILTRATION","A05:2021-Security Misconfiguration,A03:2021-Injection",432,76,"5,7"
185.224.128.42,75,7.5,"Burp Suite Pro,OWASP ZAP","80,443,8443",desktop,"GET,POST,PUT",Multiple,"/wp-admin/install.php,/.env","ADMIN_ACCESS_ATTEMPT,SENSITIVE_FILE_ACCESS","A01:2021-Broken Access Control,A05:2021-Security Misconfiguration",432,58,"7,4"
202.206.239.71,75,7.5,"Custom Scanner,dirbuster,curl","80,443,8080",desktop,"GET,POST",eu,"/wp-content/debug.log,/includes/config.php","SENSITIVE_FILE_ACCESS,DANGEROUS_METHODS","A05:2021-Security Misconfiguration,A04:2021-Insecure Design",345,47,"7,3"
203.145.228.89,75,7.5,"Python-requests,sqlmap,curl","80,443,8443,5432",desktop,"GET,POST,PUT,OPTIONS",eu,"/includes/config.php,/root/.bash_history,/.env","DANGEROUS_FILE_ACCESS,SYSTEM_PATH_ACCESS,INJECTION_ATTEMPT","A03:2021-Injection,A05:2021-Security Misconfiguration",543,86,"6,3"
203.145.72.91,75,7.5,Mozilla/5.0 (Linux; Android 10)|burp/2.1.06|Postman,"80,443,8443","mobile,desktop","GET,POST,HEAD",Multiple Countries,"/wp-admin,/config.php,/setup","XSS, SQL Injection","A03:2021-Injection, A07:2021-Identification and Authentication Failures",892,78,"11,4"
204.168.237.142,75,7.5,"Postman,curl,Python-requests","80,443,3306",desktop,"GET,POST,PUT",eu,"/includes/config.php,/wp-content/debug.log,/backup","SENSITIVE_FILE_ACCESS,INJECTION_ATTEMPT,DATA_EXFILTRATION","A05:2021-Security Misconfiguration,A03:2021-Injection",387,58,"6,7"
206.145.228.156,75,7.5,"Python-requests,curl,Postman","80,443,8080",desktop,"GET,POST,PUT",eu,"/includes/config.php,/wp-content/debug.log,/backup","SENSITIVE_FILE_ACCESS,INJECTION_ATTEMPT,FILE_ACCESS_ATTEMPT","A05:2021-Security Misconfiguration,A03:2021-Injection",387,58,"6,7"
208.234.167.93,75,7.5,"Python-requests,curl,Postman","80,443,8080",desktop,"GET,POST,PUT",eu,"/includes/config.php,/wp-content/debug.log,/backup","SENSITIVE_FILE_ACCESS,INJECTION_ATTEMPT,DATA_EXFILTRATION","A05:2021-Security Misconfiguration,A03:2021-Injection",387,58,"6,7"
209.145.228.93,75,7.5,"Python-requests,sqlmap,curl","80,443,8443,5432",desktop,"GET,POST,PUT,HEAD",eu,"/includes/config.php,/root/.ssh,/.git","SENSITIVE_DIR_ACCESS,SYSTEM_PATH_ACCESS,RISK_FILE_ACCESS","A04:2021-Insecure Design,A05:2021-Security Misconfiguration",498,86,"5,8"
222.30.33.183,185.00,7.5,44,114,"tablet,desktop,mobile","POST,GET,OPTIONS,PATCH",US,,"Multiple UA patterns,Port scanning",A7:2021-Authentication Failures,114,48,"2,4"
222.30.33.183,710,7.5,44 unique User-Agents,114 unique ports,"desktop,mobile,tablet","GET,POST,OPTIONS,PATCH",United States,"/admin/*,/auth/*,/config/*,/.../etc","Admin access, XSS, Directory traversal, Command injection, Authentication bypass","A03:2021-Injection, A01:2021-Broken Access Control, A04:2021-Insecure Design, A07:2021-Authentication Failures",114,48,"2,4"
32.168.224.172,75,7.4,Python-urllib/3.9|Selenium/4.0|Headless Chrome,"80,443,8080,9000,3000","desktop,server","GET,POST,PUT,OPTIONS",North America,"/api/v1/../config,/../../etc/passwd,/admin%2f%2e%2e/","Path traversal, Automated scanning, Large payload attacks","A3:Injection, A4:Insecure Design, A8:Software and Data Integrity Failures",60,32,"1,9"
131.157.141.74,75,7.3,curl/7.68|Zabbix-test/1.0|Selenium WebDriver,"80,443,8081,9200,2379","desktop,server","GET,POST,DELETE",Europe,"/etcd/../admin,/../../.aws/,/console%2f%2e%2e/","Cloud config mining, Service discovery abuse","A5:Security Misconfiguration, A6:Vulnerable Components",71,36,"2,0"
189.111.236.123,75,7.3,Mozilla/5.0 (Hydra)|PhantomJS/2.5|wfuzz/3.1.0,"80,443,8443,5000,7001","server,mobile","GET,POST,HEAD,OPTIONS",South America,"/../../wp-config.php,/admin/../secrets,/.env%2f%2e%2e/","Directory traversal, Credential stuffing, Data exfiltration","A1:Broken Access Control, A7:Identification and Authentication Failures",64,34,"1,9"
26.158.117.152,75,7.2,Apache-HttpClient/4.5.13|postman,"80,443,8008","desktop,mobile","GET,POST,PUT",North America,"/api/v1/*,/debug,/test","API abuse, Debug endpoint probing","A3:Injection, A5:Security Misconfiguration, A10:Server-Side Request Forgery",876,39,"22,5"
66.170.211.253,65,7.2,31,76,desktop/tablet/mobile,"GET,POST,PATCH,OPTIONS",US,,"Directory Traversal,Command Execution,XSS Attack,SQL Injection","A01:2021-Broken Access Control,A05:2021-Security Misconfiguration",79,36,"2,2"
35.96.80.127,65,7.2,29,65,mobile/desktop/tablet,"OPTIONS,POST,GET,PUT",US,,"Directory Traversal,Command Execution,XSS Attack","A01:2021-Broken Access Control,A05:2021-Security Misconfiguration",66,37,"1,8"
147.41.40.18,65,7.2,28,76,tablet/desktop/mobile,"GET,OPTIONS,PATCH,POST",US,,"Directory Traversal,Command Execution,XSS Attack,SQL Injection","A01:2021-Broken Access Control,A05:2021-Security Misconfiguration",76,33,"2,3"
125.227.246.131,70,7.1,REST-client/2.0|GraphQL-IDE|SoapUI/5.7,"80,443,8000,9090","desktop,server","GET,POST,PATCH,OPTIONS",Asia Pacific,"/swagger-ui,/api/auth/login,/wordpress/xmlrpc.php","API enumeration, Credential stuffing, XML-RPC abuse","A2:Cryptographic Failures, A3:Injection, A8:Software and Data Integrity Failures",116,38,"3,1"
146.239.91.195,70,7.1,Jmeter/5.4|SoapUI|API-Sniffer,"80,443,8081,8082","desktop,server","GET,POST,DELETE,PATCH",North America,"/api/v1/users,/joomla/administrator,/magento/admin","API load testing, CMS admin enumeration","A5:Security Misconfiguration, A6:Vulnerable Components",87,45,"1,9"
44.225.189.55,70,7.1,Postman/8.1|Go-http-client/2.0|sqlmap,"80,443,1433,3306,5432",server,"GET,POST,PUT",North America,"/../../database.yml,/admin/../../backup,/config%2f%2e%2e/","SQL injection, Backup file enumeration","A3:Injection, A4:Insecure Design",88,41,"2,1"
7.197.100.227,70,7.1,PostmanRuntime/7.31|GraphQL-Introspection|Burp Collaborator,"80,443,8080,8443","server,desktop","GET,POST,PUT,OPTIONS",North America,"/graphql/console,/api/v2/auth,/wp-json/","API fuzzing, Authentication bypass attempts, CMS probing","A4:Insecure Design, A5:Security Misconfiguration, A7:Identification and Authentication Failures",94,38,"2,5"
133.157.216.48,72,7.0,Mozilla/5.0 (compatible; Nmap)|curl/7.29.0,"80,443,21,22",server,"GET,HEAD,OPTIONS",Europe,"/admin,/backup,/config","Port scanning, Configuration mining","A1:Broken Access Control, A5:Security Misconfiguration, A9:Security Logging and Monitoring Failures",745,31,"24,0"
159.168.200.38,70,7.0,"Burp Suite,Nmap,Python-requests","80,443",server,"GET,POST",us,"/administrator/components,/.git,/backup","ADMIN_ACCESS_ATTEMPT,SENSITIVE_FILE_ACCESS","A01:2021-Broken Access Control,A05:2021-Security Misconfiguration",298,41,"7,3"
163.192.235.124,70,7.0,"dirb,Custom Scanner,wget","80,443,21,22",server,"GET,POST,HEAD,TRACE",Multiple,"/administrator/components,/etc/shadow,/backup.tar","ADMIN_PATH_ACCESS,SYSTEM_PATH_ACCESS,DATA_EXFILTRATION","A01:2021-Broken Access Control,A05:2021-Security Misconfiguration",456,79,"5,8"
163.234.156.89,70,7.0,"dirb,Custom Scanner,wget","80,443,8443",server,"GET,POST,HEAD",Multiple,"/administrator/components,/.git,/backup.tar","ADMIN_ACCESS_ATTEMPT,SENSITIVE_FILE_ACCESS,DATA_EXFILTRATION","A01:2021-Broken Access Control,A05:2021-Security Misconfiguration",345,52,"6,6"
165.192.245.124,70,7.0,"dirb,Custom Scanner,wget","80,443,8443",server,"GET,POST,HEAD",Multiple,"/administrator/components,/.git,/backup.tar","ADMIN_ACCESS_ATTEMPT,SENSITIVE_FILE_ACCESS,DATA_EXFILTRATION","A01:2021-Broken Access Control,A05:2021-Security Misconfiguration",345,52,"6,6"
167.234.156.124,70,7.0,"dirb,Gobuster,Burp","80,443,21,22",server,"GET,POST,HEAD,TRACE",Multiple,"/administrator/components,/etc/shadow,/backup.tar","CRITICAL_ADMIN_ACCESS,SYSTEM_PATH_ACCESS,SEVERE_METHOD_USAGE","A01:2021-Broken Access Control,A04:2021-Insecure Design",476,79,"6,0"
169.234.167.92,70,7.0,"dirb,Custom Scanner,wget","80,443,8443",server,"GET,POST,HEAD",Multiple,"/administrator/components,/.git,/backup.tar","ADMIN_ACCESS_ATTEMPT,SENSITIVE_FILE_ACCESS,FILE_ACCESS_ATTEMPT","A01:2021-Broken Access Control,A05:2021-Security Misconfiguration",345,52,"6,6"
178.92.155.203,70,7.0,Mozilla/5.0 (dirsearch)|ffuf/1.5|masscan,"80,443,23,25,161","server,IoT","GET,POST,HEAD",Asia,"/../../.git/config,/snmp/../private,/system%2f%2e%2e/","Version control exposure, SNMP enumeration","A1:Broken Access Control, A9:Security Logging and Monitoring Failures",93,38,"2,4"
185.224.128.42,70,7.0,Mozilla/5.0 (Windows NT 10.0)|ZAP/2.10.0|Python/3.9,"80,443,3000","desktop,mobile","GET,POST,PUT",eu,"/api/admin,/.git,/backup","Directory traversal, Information disclosure","A01:2021-Broken Access Control, A05:2021-Security Misconfiguration",654,92,"7,1"
198.145.237.83,70,7.0,"dirb,Custom Scanner,wget","80,443,8443",server,"GET,POST,HEAD",Multiple,"/administrator/components,/.git,/backup.tar","CRITICAL_PATH_ACCESS,SENSITIVE_FILE_ACCESS,AUTH_MANIPULATION","A01:2021-Broken Access Control,A05:2021-Security Misconfiguration",387,65,"6,0"
202.206.239.71,70,7.0,"dirbuster,wfuzz","80,443,3306",server,"GET,POST",as,"/admin/setup.php,/config/","ADMIN_ACCESS_ATTEMPT,DANGEROUS_METHODS","A01:2021-Broken Access Control,A04:2021-Insecure Design",387,52,"7,4"
29.134.230.139,70,7.0,Swagger-UI|OAuth-Tester|API-Fuzzer,"80,443,3000,4000",server,"GET,POST,PUT",Europe,"/oauth/token,/api/admin,/drupal/admin","OAuth abuse, API privilege escalation","A1:Broken Access Control, A7:Identification and Authentication Failures",67,31,"2,2"
89.240.61.108,70,7.0,Insomnia/2023|k6-http|Artillery,"80,443,9000,9001",server,"GET,POST,PUT",Europe,"/api/graphql,/wp-admin/install.php,/admin/config","API stress testing, CMS installation probing","A3:Injection, A4:Insecure Design, A9:Security Logging and Monitoring Failures",72,30,"2,4"
155.93.178.44,65,6.9,ZAP/2.11|Acunetix|Nikto,"80,443,8000,8008",desktop,"GET,POST,OPTIONS",Europe,"/index.php?page=../,/upload.aspx,/exec.php","LFI attempts, File upload, RCE probing","A3:Injection, A5:Security Misconfiguration, A8:Software and Data Integrity Failures",76,35,"2,2"
201.45.116.89,65,6.9,SQLMAP/1.6|XSSer/1.8|Wappalyzer,"80,443,8080,8443","desktop,server","GET,POST",South America,"/login.php?id=1',/search?q=<script>,/upload.php","SQL injection, XSS attempts, File upload probing","A3:Injection, A2:Cryptographic Failures, A6:Vulnerable Components",83,42,"2,0"
157.226.241.234,55,6.8,Python-requests/2.26|OWASP ZAP,"80,443,8080,9090","server,desktop","GET,POST,DELETE",Multiple Countries,"/graphql,/swagger,/docs","API fuzzing, Documentation mining","A2:Cryptographic Failures, A8:Software and Data Integrity Failures",108,42,"2,6"
158.240.206.108,55,6.8,Go-http-client/2.0|Mozilla/5.0 (Linux),"80,443,8443,27017","server,desktop","GET,POST,OPTIONS",Europe,"/admin/console,/metrics,/actuator","Spring Boot Actuator scanning, MongoDB enum","A5:Security Misconfiguration, A6:Vulnerable Components",70,34,"2,1"
185.24.37.122,201.50,6.8,42,115,"tablet,desktop,mobile","GET,POST,OPTIONS",US,,"Multiple UA switching,Port scanning,Device spoofing",A7:2021-Authentication Failures,115,41,"2,8"
24.203.45.79,55,6.8,Mozilla/5.0 (Windows NT)|curl/7.55.1|Python/3.8,"80,443,8080,3306,5432","desktop,mobile","GET,POST,HEAD",North America,"/wp-admin,/phpmyadmin,/.env","Database enumeration, CMS exploitation","A1:Broken Access Control, A7:Identification and Authentication Failures",94,37,"2,5"
43.128.94.167,65,6.8,BlackWidow|HTTrack|WebCopier,"80,443,8090,8091","desktop,server","GET,POST,PUT",Asia,"/login?debug=true,/admin.php?test=1,/backup.zip","Debug parameter abuse, Admin access attempts, Backup mining","A4:Insecure Design, A5:Security Misconfiguration, A9:Security Logging and Monitoring Failures",94,37,"2,5"
67.203.154.210,65,6.8,DirBuster/1.0|w3af|Arachni,"80,443,8081,8082",server,"GET,POST,PUT",North America,"/admin.php?id=-1,/test.jsp;.jpg,/shell.php","SQL injection, Path manipulation, Shell upload","A1:Broken Access Control, A3:Injection, A4:Insecure Design",91,39,"2,3"
92.167.205.155,65,6.8,Gobuster/3.4|Skipfish|WebInspect,"80,443,7001,8880","server,desktop","GET,POST,HEAD",Asia Pacific,"/auth?token=1=1,/file.php?path=..,/cmd.jsp","Authentication bypass, Path traversal, Command injection","A1:Broken Access Control, A4:Insecure Design, A7:Identification and Authentication Failures",88,41,"2,1"
171.76.104.123,55,6.7,curl/7.74|Nuclei Scanner,"80,443,2375,5601",server,"GET,HEAD,OPTIONS",Asia Pacific,"/docker,/kibana,/_search","Container scanning, ELK stack probing","A5:Security Misconfiguration, A9:Security Logging and Monitoring Failures",96,11,"8,7"
173.82.115.91,60,6.7,SSRF-Scanner|gopher-client|curl,"80,443,6379,11211",server,"GET,POST,OPTIONS",North America,"/gopher://internal/test,/file://etc/passwd,/dict://localhost","SSRF attempts, Protocol abuse, Cache poisoning","A4:Insecure Design, A10:Server-Side Request Forgery, A5:Security Misconfiguration",82,35,"2,3"
209.145.53.178,60,6.7,FastHTTP|req/v2|httpx,"80,443,3128,8123",server,"GET,POST,PUT",Europe,"/proxy?url=http,/memcached?key=1,/api?timestamp=123","Proxy abuse, Cache poisoning, Timing attacks","A4:Insecure Design, A8:Software and Data Integrity Failures, A10:Server-Side Request Forgery",91,39,"2,3"
6.184.51.168,55,6.7,Apache-HttpClient|Burp Scanner,"80,443,9200,6379",desktop,"GET,POST,PUT",Asia,"/elasticsearch,/redis-cli,/status","NoSQL injection, Cache poisoning","A3:Injection, A4:Insecure Design",44,21,"2,1"
122.161.50.139,60,6.6,Cache-Tester|Fuzz-Client|httpie,"80,443,8080,3128",server,"GET,POST,PURGE",Asia,"/cdn-cgi/test,/?preload=1,/static?v=%00","Cache poisoning, Null byte injection, CDN probing","A4:Insecure Design, A5:Security Misconfiguration, A8:Software and Data Integrity Failures",79,34,"2,3"
45.176.248.203,60,6.6,Custom-Agent|Python-urllib3|reqwest,"80,443,6082,8080","desktop,server","GET,POST,HEAD",South America,"/api/cache?cb=1,%25%32%65%25%32%65/passwd,/internal?nocache=1","Double encoding, Cache manipulation, Internal resource access","A1:Broken Access Control, A4:Insecure Design, A5:Security Misconfiguration",76,33,"2,3"
88.213.197.142,60,6.6,HTTP-Client|custom-fuzzer|curl,"80,443,6081,7001","desktop,server","GET,POST,HEAD",Asia Pacific,"/test%25252f..,/varnish?purge=1,/akamai?bypass=true","Advanced encoding evasion, Cache bypass, CDN manipulation","A1:Broken Access Control, A5:Security Misconfiguration, A9:Security Logging and Monitoring Failures",85,36,"2,4"
129.53.13.62,202.00,6.5,43,114,"tablet,desktop,mobile","GET,OPTIONS,POST",US,,"Multiple UA switching,Port scanning,Device spoofing",A7:2021-Authentication Failures,114,36,"3,2"
159.168.200.38,65,6.5,"sqlmap,hydra","80,443,1433",server,"GET,POST",us,"/includes/config.php,/wp-content/debug.log","MALICIOUS_PAYLOAD,SENSITIVE_FILE_ACCESS","A03:2021-Injection,A05:2021-Security Misconfiguration",345,47,"7,3"
172.16.48.123,65,6.5,Mozilla/5.0 (iPhone)|wget/1.20.3|Go-http-client/1.1,"80,8080,443","mobile,desktop","GET,POST",as,"/phpMyAdmin,/wp-login,/admin.php","Brute force attempts, SQL Injection",A07:2021-Identification and Authentication Failures,445,67,"6,6"
172.16.48.123,65,6.5,"ZAP Scanner,curl,wget","80,443,8080",server,"GET,POST,HEAD",Multiple,"/phpmyadmin,/wp-admin,/config.bak","SENSITIVE_FILE_ACCESS,INJECTION_ATTEMPT","A05:2021-Security Misconfiguration,A03:2021-Injection",276,38,"7,3"
178.234.156.92,65,6.5,"Burp Suite,Nikto,Python-urllib","80,443,22",server,"GET,POST,PUT",us,"/phpmyadmin,/wp-admin,/config.bak","SENSITIVE_FILE_ACCESS,INJECTION_ATTEMPT,FILE_UPLOAD_ATTEMPT","A05:2021-Security Misconfiguration,A03:2021-Injection",345,58,"5,9"
182.145.239.76,65,6.5,"Burp Suite,Nmap,Python-urllib","80,443,22",server,"GET,POST,PUT",us,"/phpmyadmin,/wp-admin,/config.bak","SENSITIVE_FILE_ACCESS,INJECTION_ATTEMPT,DANGEROUS_METHODS","A05:2021-Security Misconfiguration,A03:2021-Injection",321,47,"6,8"
188.145.239.123,65,6.5,"Burp Suite,Nikto,Python-urllib","80,443,22",server,"GET,POST,PUT",us,"/phpmyadmin,/wp-admin,/config.bak","SENSITIVE_FILE_ACCESS,INJECTION_ATTEMPT,DANGEROUS_METHODS","A05:2021-Security Misconfiguration,A03:2021-Injection",321,47,"6,8"
191.168.235.89,65,6.5,"Burp Suite,Nikto,Python-urllib","80,443,22",server,"GET,POST,PUT",us,"/phpmyadmin,/wp-admin,/config.bak","SENSITIVE_FILE_ACCESS,INJECTION_ATTEMPT,AUTH_MANIPULATION","A05:2021-Security Misconfiguration,A03:2021-Injection",321,47,"6,8"
208.150.99.181,185.50,6.4,43,119,"desktop,tablet,mobile","GET,POST,OPTIONS",US,,"UA switching,Port scanning",A7:2021-Authentication Failures,119,40,"3,0"
195.171.155.166,193.00,6.3,39,109,"desktop,tablet,mobile","POST,GET,OPTIONS",US,,"UA spoofing,Port scanning",A7:2021-Authentication Failures,110,40,"2,8"
125.227.246.131,186.50,6.2,41,116,"desktop,tablet,mobile","GET,OPTIONS,POST",US,,"Multiple UA patterns,Port scanning",A7:2021-Authentication Failures,116,38,"3,1"
688c:c1b1:c20a:b75a:3a6b:49bf:beb0:82c6,32,6.1,1,1,mobile,GET,Unknown,/executive,Single Request|Limited Scope,A7:2021-Identification and Authentication Failures,1,1,"1,0"
71c9:def:aa09:375e:2614:4e87:7c2:43c3,32,6.1,1,1,mobile,GET,Unknown,/look/executive/federal,Single Request|Limited Scope,A7:2021-Identification and Authentication Failures,1,1,"1,0"
156.192.245.123,60,6.0,"ZAP Scanner,curl,wget","80,443,8080",desktop,"GET,POST",as,"/admin/config,/backup.sql,/.env","CRITICAL_PATH_ACCESS,SENSITIVE_FILE_ACCESS,DATA_EXFILTRATION","A01:2021-Broken Access Control,A04:2021-Insecure Design",298,47,"6,3"
159.168.200.38,60,6.0,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98)|curl/7.64.0|Python-requests/2.25.1,"48924,42014,38860","tablet,desktop,mobile","GET,OPTIONS,POST",us,/administration/oil/through/age,,A01:2021-Broken Access Control,112,45,"2,5"
172.16.48.123,60,6.0,"Custom Scanner,dirb","80,443,8080",desktop,"GET,POST",eu,"/wp-admin/admin-ajax.php,/backup/","ADMIN_ACCESS_ATTEMPT,SENSITIVE_FILE_ACCESS","A01:2021-Broken Access Control,A05:2021-Security Misconfiguration",298,41,"7,3"
179.234.156.142,60,6.0,"ZAP Scanner,curl,wget","80,443,8080",desktop,"GET,POST",as,"/admin/config,/backup.sql,/.env","ADMIN_ACCESS_ATTEMPT,SENSITIVE_FILE_ACCESS,DATA_EXFILTRATION","A01:2021-Broken Access Control,A05:2021-Security Misconfiguration",298,43,"6,9"
194.168.235.84,60,6.0,"ZAP Scanner,curl,wget","80,443,8080",desktop,"GET,POST",as,"/admin/config,/backup.sql,/.env","ADMIN_ACCESS_ATTEMPT,SENSITIVE_FILE_ACCESS,FILE_ACCESS_ATTEMPT","A01:2021-Broken Access Control,A05:2021-Security Misconfiguration",298,43,"6,9"
197.234.168.154,60,6.0,"OWASP ZAP,curl,wget","80,443,8080",desktop,"GET,POST",as,"/admin/config,/backup.sql,/.env","ADMIN_ACCESS_ATTEMPT,SENSITIVE_FILE_ACCESS,DATA_EXFILTRATION","A01:2021-Broken Access Control,A05:2021-Security Misconfiguration",298,43,"6,9"
203.145.72.91,60,6.0,"dirb,Nikto,Custom Tool","80,443",desktop,"GET,POST",as,"/admin/config,/backup.sql,/.env","ADMIN_ACCESS_ATTEMPT,SENSITIVE_FILE_ACCESS","A01:2021-Broken Access Control,A05:2021-Security Misconfiguration",245,35,"7,0"
21.166.16.150,187.00,6.0,33,112,"desktop,tablet,mobile","GET,POST,OPTIONS",US,,"UA manipulation,Port scanning",A7:2021-Authentication Failures,112,42,"2,7"
209.158.28.49,178.00,5.9,43,114,"desktop,tablet,mobile","GET,POST,OPTIONS",US,,"UA manipulation,Port scanning",A7:2021-Authentication Failures,114,39,"2,9"
132.107.158.218,165.00,5.8,41,105,"tablet,mobile,desktop","GET,POST,OPTIONS",US,,"Multiple UA patterns,Port scanning",A7:2021-Authentication Failures,105,42,"2,5"
159.168.200.38,168.50,5.8,38,111,"tablet,desktop,mobile","GET,OPTIONS,POST",US,,"Multiple UA patterns,Port scanning",A7:2021-Authentication Failures,112,45,"2,5"
172.73.227.140,180.50,5.8,39,105,"tablet,desktop,mobile","GET,POST,OPTIONS",US,,"UA spoofing,Port scanning",A7:2021-Authentication Failures,105,47,"2,2"
96.152.27.237,162.00,5.8,34,99,"tablet,desktop,mobile","GET,OPTIONS,POST",US,,"Multiple UA patterns,Port scanning",A7:2021-Authentication Failures,100,37,"2,7"
129.250.178.34,163.50,5.7,45,100,"desktop,tablet","GET,POST,PUT",US,,"UA spoofing,Suspicious methods",A7:2021-Authentication Failures,100,41,"2,4"
133.157.216.48,160.50,5.7,44,102,"desktop,tablet,mobile","GET,POST,OPTIONS",US,,"UA switching,Port scanning",A7:2021-Authentication Failures,102,44,"2,3"
146.239.91.195,380,5.7,31 unique User-Agents,87 unique ports,"desktop,mobile,tablet","GET,POST,PATCH",United States,"/admin/*,/system/*,/auth/*","XSS, Directory traversal, Command injection, Auth bypass","A03:2021-Injection, A01:2021-Broken Access Control, A07:2021-Authentication Failures",87,45,"1,9"
159.147.102.107,168.00,5.7,38,103,"desktop,mobile,tablet","GET,OPTIONS,POST",US,,"UA spoofing,Port scanning",A7:2021-Authentication Failures,103,44,"2,3"
192.19.249.147,174.50,5.7,37,112,"desktop,mobile,tablet","PUT,GET,OPTIONS,POST",US,,"Multiple UA patterns,Suspicious methods",A7:2021-Authentication Failures,112,31,"3,6"
221.112.50.103,162.00,5.7,40,102,"desktop,mobile,tablet","GET,POST,OPTIONS",US,,"UA spoofing,Port scanning",A7:2021-Authentication Failures,102,33,"3,1"
128.103.139.186,163.50,5.6,34,97,"desktop,tablet,mobile","POST,GET,OPTIONS",US,,"UA manipulation,Port scanning",A7:2021-Authentication Failures,98,39,"2,5"
